시도별(17개),규모별,산업분류별,시점,부족률[%]
서울특별시,전규모(5인이상),C.제조업(10~34),2018. 1/2,2.3
서울특별시,전규모(5인이상),C.제조업(10~34),2018. 2/2,2.5
서울특별시,전규모(5인이상),C.제조업(10~34),2019. 1/2,2.1
서울특별시,전규모(5인이상),C.제조업(10~34),2019. 2/2,1.7
서울특별시,전규모(5인이상),C.제조업(10~34),2020. 1/2,2.3
서울특별시,전규모(5인이상),C.제조업(10~34),2020. 2/2,2.5
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2018. 1/2,1.2
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2018. 2/2,0.9
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2019. 1/2,1.2
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2019. 2/2,1.2
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2020. 1/2,0.4
서울특별시,전규모(5인이상),"D.전기, 가스, 증기 및 공기 조절 공급업(35)",2020. 2/2,0.6
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2018. 1/2,1.8
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2018. 2/2,1.3
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2019. 1/2,1
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2019. 2/2,1
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2020. 1/2,0.8
서울특별시,전규모(5인이상),"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",2020. 2/2,1.7
서울특별시,전규모(5인이상),F.건설업(41~42),2018. 1/2,1.9
서울특별시,전규모(5인이상),F.건설업(41~42),2018. 2/2,1.1
서울특별시,전규모(5인이상),F.건설업(41~42),2019. 1/2,1.6
